date,tipo_refeicao,restaurante_utilizado,categoria_padrao,categoria_vegano,dia_semana,mes,almoco,periodo_semestre,quantidade,feriado_dummy
20/10/2025,Almoço,RU,suino,leguminosas,seg,out,1,meio,,0
20/10/2025,Almoço,RA,suino,leguminosas,seg,out,1,meio,,0
20/10/2025,Almoço,RS,suino,leguminosas,seg,out,1,meio,,0
20/10/2025,Jantar,RU,frango,pts_proteina_texturizada,seg,out,0,meio,,0
20/10/2025,Jantar,RA,frango,pts_proteina_texturizada,seg,out,0,meio,,0
20/10/2025,Jantar,RS,frango,pts_proteina_texturizada,seg,out,0,meio,,0
21/10/2025,Almoço,RU,bovino,leguminosas,ter,out,1,meio,,0
21/10/2025,Almoço,RA,bovino,leguminosas,ter,out,1,meio,,0
21/10/2025,Almoço,RS,bovino,leguminosas,ter,out,1,meio,,0
21/10/2025,Jantar,RU,suino,pts_proteina_texturizada,ter,out,0,meio,,0
21/10/2025,Jantar,RA,suino,pts_proteina_texturizada,ter,out,0,meio,,0
21/10/2025,Jantar,RS,suino,pts_proteina_texturizada,ter,out,0,meio,,0
22/10/2025,Almoço,RU,peixe,leguminosas,qua,out,1,meio,,0
22/10/2025,Almoço,RA,peixe,leguminosas,qua,out,1,meio,,0
22/10/2025,Almoço,RS,peixe,leguminosas,qua,out,1,meio,,0
22/10/2025,Jantar,RU,bovino,leguminosas,qua,out,0,meio,,0
22/10/2025,Jantar,RA,bovino,leguminosas,qua,out,0,meio,,0
22/10/2025,Jantar,RS,bovino,leguminosas,qua,out,0,meio,,0
23/10/2025,Almoço,RU,frango,leguminosas,qui,out,1,meio,,0
23/10/2025,Almoço,RA,frango,leguminosas,qui,out,1,meio,,0
23/10/2025,Almoço,RS,frango,leguminosas,qui,out,1,meio,,0
23/10/2025,Jantar,RU,peixe,pts_proteina_texturizada,qui,out,0,meio,,0
23/10/2025,Jantar,RA,peixe,pts_proteina_texturizada,qui,out,0,meio,,0
23/10/2025,Jantar,RS,peixe,pts_proteina_texturizada,qui,out,0,meio,,0
24/10/2025,Almoço,RU,bovino,leguminosas,sex,out,1,meio,,0
24/10/2025,Almoço,RA,bovino,leguminosas,sex,out,1,meio,,0
24/10/2025,Almoço,RS,bovino,leguminosas,sex,out,1,meio,,0
24/10/2025,Jantar,RU,frango,leguminosas,sex,out,0,meio,,0
24/10/2025,Jantar,RA,frango,leguminosas,sex,out,0,meio,,0
24/10/2025,Jantar,RS,frango,leguminosas,sex,out,0,meio,,0
