"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-02-28,"Almoço","RU","bovino","leguminosas","qua","fev","1","inicio",4112,0
2024-02-28,"Almoço","RA","bovino","leguminosas","qua","fev","1","inicio",1155,0
2024-02-28,"Almoço","RS","bovino","leguminosas","qua","fev","1","inicio",1384,0
2024-02-28,"Jantar","RU","bovino_suino","leguminosas","qua","fev","0","inicio",2200,0
2024-02-28,"Jantar","RA","bovino_suino","leguminosas","qua","fev","0","inicio",559,0
2024-02-28,"Jantar","RS","bovino_suino","leguminosas","qua","fev","0","inicio",386,0
2024-02-29,"Almoço","RU","frango","leguminosas","qui","fev","1","inicio",3708,0
2024-02-29,"Almoço","RA","frango","leguminosas","qui","fev","1","inicio",1253,0
2024-02-29,"Almoço","RS","frango","leguminosas","qui","fev","1","inicio",1364,0
2024-02-29,"Jantar","RU","bovino","pts_proteina_texturizada","qui","fev","0","inicio",2508,0
2024-02-29,"Jantar","RA","bovino","pts_proteina_texturizada","qui","fev","0","inicio",725,0
2024-02-29,"Jantar","RS","bovino","pts_proteina_texturizada","qui","fev","0","inicio",555,0
2024-03-01,"Almoço","RU","bovino","pts_proteina_texturizada","sex","mar","1","inicio",3503,0
2024-03-01,"Almoço","RA","bovino","pts_proteina_texturizada","sex","mar","1","inicio",1156,0
2024-03-01,"Almoço","RS","bovino","pts_proteina_texturizada","sex","mar","1","inicio",1163,0
2024-03-01,"Jantar","RU","bovino","leguminosas","sex","mar","0","inicio",1856,0
2024-03-01,"Jantar","RA","bovino","leguminosas","sex","mar","0","inicio",461,0
2024-03-01,"Jantar","RS","bovino","leguminosas","sex","mar","0","inicio",309,0
2024-03-04,"Almoço","RU","bovino","leguminosas","seg","mar","1","inicio",4373,0
2024-03-04,"Almoço","RA","bovino","leguminosas","seg","mar","1","inicio",1299,0
2024-03-04,"Almoço","RS","bovino","leguminosas","seg","mar","1","inicio",1768,0
2024-03-04,"Jantar","RU","bovino","leguminosas","seg","mar","0","inicio",3294,0
2024-03-04,"Jantar","RA","bovino","leguminosas","seg","mar","0","inicio",759,0
2024-03-04,"Jantar","RS","bovino","leguminosas","seg","mar","0","inicio",751,0
2024-03-05,"Almoço","RU","peixe","leguminosas","ter","mar","1","inicio",3352,0
2024-03-05,"Almoço","RA","peixe","leguminosas","ter","mar","1","inicio",1022,0
2024-03-05,"Almoço","RS","peixe","leguminosas","ter","mar","1","inicio",1111,0
2024-03-05,"Jantar","RU","suino","leguminosas","ter","mar","0","inicio",3054,0
2024-03-05,"Jantar","RA","suino","leguminosas","ter","mar","0","inicio",815,0
2024-03-05,"Jantar","RS","suino","leguminosas","ter","mar","0","inicio",942,0
2024-03-06,"Almoço","RU","bovino","pts_proteina_texturizada","qua","mar","1","inicio",4694,0
2024-03-06,"Almoço","RA","bovino","pts_proteina_texturizada","qua","mar","1","inicio",1384,0
2024-03-06,"Almoço","RS","bovino","pts_proteina_texturizada","qua","mar","1","inicio",1846,0
2024-03-06,"Jantar","RU","bovino","leguminosas","qua","mar","0","inicio",3112,0
2024-03-06,"Jantar","RA","bovino","leguminosas","qua","mar","0","inicio",824,0
2024-03-06,"Jantar","RS","bovino","leguminosas","qua","mar","0","inicio",808,0
2024-03-07,"Almoço","RU","frango","leguminosas","qui","mar","1","inicio",4636,0
2024-03-07,"Almoço","RA","frango","leguminosas","qui","mar","1","inicio",1415,0
2024-03-07,"Almoço","RS","frango","leguminosas","qui","mar","1","inicio",1820,0
2024-03-07,"Jantar","RU","bovino","pts_proteina_texturizada","qui","mar","0","inicio",2953,0
2024-03-07,"Jantar","RA","bovino","pts_proteina_texturizada","qui","mar","0","inicio",802,0
2024-03-07,"Jantar","RS","bovino","pts_proteina_texturizada","qui","mar","0","inicio",847,0
2024-03-08,"Almoço","RU","suino","leguminosas","sex","mar","1","inicio",4296,0
2024-03-08,"Almoço","RA","suino","leguminosas","sex","mar","1","inicio",1200,0
2024-03-08,"Almoço","RS","suino","leguminosas","sex","mar","1","inicio",1455,0
2024-03-08,"Jantar","RU","frango","leguminosas","sex","mar","0","inicio",2414,0
2024-03-08,"Jantar","RA","frango","leguminosas","sex","mar","0","inicio",613,0
2024-03-08,"Jantar","RS","frango","leguminosas","sex","mar","0","inicio",583,0
2024-03-11,"Almoço","RU","bovino","leguminosas","seg","mar","1","inicio",4254,0
2024-03-11,"Almoço","RA","bovino","leguminosas","seg","mar","1","inicio",1404,0
2024-03-11,"Almoço","RS","bovino","leguminosas","seg","mar","1","inicio",1788,0
2024-03-11,"Jantar","RU","frango","leguminosas","seg","mar","0","inicio",3188,0
2024-03-11,"Jantar","RA","frango","leguminosas","seg","mar","0","inicio",923,0
2024-03-11,"Jantar","RS","frango","leguminosas","seg","mar","0","inicio",1167,0
2024-03-13,"Almoço","RU","bovino","pts_proteina_texturizada","qua","mar","1","inicio",4370,0
2024-03-13,"Almoço","RA","bovino","pts_proteina_texturizada","qua","mar","1","inicio",1387,0
2024-03-13,"Almoço","RS","bovino","pts_proteina_texturizada","qua","mar","1","inicio",1867,0
2024-03-13,"Jantar","RU","frango","leguminosas","qua","mar","0","inicio",3131,0
2024-03-13,"Jantar","RA","frango","leguminosas","qua","mar","0","inicio",901,0
2024-03-13,"Jantar","RS","frango","leguminosas","qua","mar","0","inicio",1104,0
2024-03-14,"Almoço","RU","bovino","leguminosas","qui","mar","1","inicio",4346,0
